name,label
14699--مؤقت-ح,14699--مؤقت-ح
23342--5,23342--5
11681--5,11681--5
1420---مؤقت,1420---مؤقت
8917--H,8917--H
12037--5,12037--5
1577--H,1577--H
1665--H,1665--H
4167--H,4167--H
-481--نقل-,-481--نقل-
2746--17,2746--17
37106--5,37106--5
35118--5,35118--5
1247--H,1247--H
36827--5,36827--5
1967--H,1967--H
2060--H,2060--H
1239--H,1239--H
1163--H,1163--H
1156--H,1156--H
322299--C8460,322299--C8460
36788--5,36788--5
36803--5,36803--5
13191--3,13191--3
68149--2,68149--2
23684--5,23684--5
9484--H,9484--H
7577--H,7577--H
2754--H,2754--H
1193--M,1193--M
37172--5,37172--5
8545--H,8545--H
8543--H,8543--H
8689--H,8689--H
1892--H,1892--H
12514--5-مؤقت-ح,12514--5-مؤقت-ح
3357--H,3357--H
8838--H,8838--H
2385--15,2385--15
12517--5-مؤقت-ح,12517--5-مؤقت-ح
12887--5-مؤقت-ح,12887--5-مؤقت-ح
9626--H,9626--H
4143--H,4143--H
8650--H,8650--H
9453--H,9453--H
9451--H,9451--H
9450--H,9450--H
9454--H,9454--H
61191--5,61191--5
36204--5,36204--5
39117--5,39117--5
2642--17,2642--17
1338--H,1338--H
11756--H,11756--H
7965--H,7965--H
7964--H,7964--H
7967--H,7967--H
1778--H,1778--H
121565--2,121565--2
1968--17,1968--17
39594--5,39594--5
4156--H,4156--H
8454--H,8454--H
9190--H,9190--H
1891--H,1891--H
8800--H,8800--H
5025--H,5025--H
4999--H,4999--H
3810--H,3810--H
34336--5,34336--5
80407--2,80407--2
2152--H,2152--H
1567--H,1567--H
8473--م-عدن,8473--م-عدن
10496--15,10496--15
590--شبوة,590--شبوة
1987--H,1987--H
10497--15,10497--15
2643--H,2643--H
4481--H,4481--H
17174--5,17174--5
12235--,12235--
532--5,532--5
26309--5,26309--5
5713--H,5713--H
6279--1,6279--1
941--5-مؤقت,941--5-مؤقت
1329--H,1329--H
37039--5,37039--5
16035--5,16035--5
361--17,361--17
9917--5,9917--5
362--17,362--17
25342--5,25342--5
15561--5,15561--5
32356--5,32356--5
9966--5,9966--5
7357--15,7357--15
1127--H,1127--H
12454--5,12454--5
25800--5,25800--5
34739--5,34739--5
14060--5,14060--5
34210--5,34210--5
11535--5,11535--5
1207--مؤقت,1207--مؤقت
1569--H,1569--H
3043--19,3043--19
1081--مؤقت,1081--مؤقت
25629--5,25629--5
7987--5,7987--5
12086--5,12086--5
2089--,2089--
11175--مؤقت,11175--مؤقت
8233--H,8233--H
1082--مؤقت,1082--مؤقت
1214--مؤقت,1214--مؤقت
15081--5,15081--5
8368--H,8368--H
4127--H,4127--H
4175--H,4175--H
4228--H,4228--H
1998--H,1998--H
613--5,613--5
19337--5,19337--5
5393--15,5393--15
1175--مؤقت,1175--مؤقت
17787--5,17787--5
13575--مؤقت-ح,13575--مؤقت-ح
11936--5,11936--5
375--مؤقت,375--مؤقت
4135--16,4135--16
36067--5,36067--5
20825--5,20825--5
536--5مؤقت,536--5مؤقت
8736--5,8736--5
24540--5,24540--5
11661--5,11661--5
707--5-,707--5-
849--5-مؤقت-ح,849--5-مؤقت-ح
41727--5,41727--5
124980--2,124980--2
35614--5,35614--5
1471—H,1471—H
12718--5,12718--5
4162--H,4162--H
34525--5,34525--5
18766--5,18766--5
1000--مؤقت,1000--مؤقت
53841--5,53841--5
16498--5,16498--5
14277--5,14277--5
2042--5-مؤقت,2042--5-مؤقت
10378--H,10378--H
2647--17,2647--17
986--5-مؤقت-ح,986--5-مؤقت-ح
8502--5,8502--5
4461--H,4461--H
34584--1,34584--1
1761--H,1761--H
820--5-مؤقت,820--5-مؤقت
10359--15,10359--15
12707--5,12707--5
13627--5-مؤقت-ح,13627--5-مؤقت-ح
10163--H,10163--H
1813--H,1813--H
12359--5,12359--5
4521--H,4521--H
20288--5,20288--5
17082--5,17082--5
17280--5,17280--5
25000--5,25000--5
1319--مؤقت,1319--مؤقت
2144--W,2144--W
3434--H,3434--H
1879--W,1879--W
34748--5,34748--5
12413--5-موقت-ح,12413--5-موقت-ح
3242--H,3242--H
11822--5مؤقت-ح,11822--5مؤقت-ح
12840--5-مؤقت-ح,12840--5-مؤقت-ح
12816--5-مؤقت-ح,12816--5-مؤقت-ح
217--5-مؤقت-ح,217--5-مؤقت-ح
60290--H,60290--H
2704--H,2704--H
1421--H,1421--H
60484--مؤقت-نقل,60484--مؤقت-نقل
2375--11,2375--11
8744--12,8744--12
35857--5,35857--5
36766--5,36766--5
8819--H,8819--H
2865--9,2865--9
11875--5-مؤقت-ح,11875--5-مؤقت-ح
23699--5,23699--5
214--نقل,214--نقل
36464--5,36464--5
5044--H,5044--H
37566--5,37566--5
1112--H,1112--H
13316--مؤقت-عدن,13316--مؤقت-عدن
71--نقل,71--نقل
37528--5,37528--5
27214--5,27214--5
5038--H,5038--H
278--نقل,278--نقل
1801--H,1801--H
1031--مؤقت-نقل,1031--مؤقت-نقل
38342--5,38342--5
19495--9,19495--9
2369--عدن,2369--عدن
10390--H,10390--H
3657--مؤقت-نقل,3657--مؤقت-نقل
6129--11,6129--11
24510--5,24510--5
10075--مؤقت-عدن,10075--مؤقت-عدن
13929--3,13929--3
1664--H,1664--H
350--مؤقت-ش,350--مؤقت-ش
11558--15,11558--15
704--مؤقت,704--مؤقت
11559--15,11559--15
372--نقل,372--نقل
1194--W,1194--W
11031--15,11031--15
15065--5,15065--5
5071--مؤقت,5071--مؤقت
437---نقل,437---نقل
643---نقل,643---نقل
4868---مؤقت,4868---مؤقت
9441--مؤقت,9441--مؤقت
1355--W,1355--W
264--17,264--17
3149--H,3149--H
11967--5,11967--5
1324--مؤقت,1324--مؤقت
4866--مؤقت,4866--مؤقت
388--نقل,388--نقل
1323--مؤقت,1323--مؤقت
25965--5,25965--5
12250--5,12250--5
16647--5,16647--5
12575--3,12575--3
18833--21,18833--21
61657--مؤقت-نقل,61657--مؤقت-نقل
124550--5,124550--5
37452--5,37452--5
8723--12,8723--12
6983--16,6983--16
115--19,115--19
11045--6,11045--6
5378--14,5378--14
13607--6,13607--6
3887--21,3887--21
4754--9,4754--9
42271--2,42271--2
20259--21,20259--21
39744--2,39744--2
39869--2,39869--2
123617--2,123617--2
2540--19,2540--19
18721--10,18721--10
15168--8,15168--8
42215--1,42215--1
5226--14,5226--14
11019--16,11019--16
11092--16,11092--16
11093--16,11093--16
10893--19,10893--19
83412--2,83412--2
37994--1,37994--1
87659--2,87659--2
2869--16,2869--16
13405--10,13405--10
11729--5-مؤقت,11729--5-مؤقت
11853--5,11853--5
11890--5-مؤقت,11890--5-مؤقت
11925--5-مؤقت,11925--5-مؤقت
11977--5-مؤقت,11977--5-مؤقت
12077--5,12077--5
12390--5مؤقت,12390--5مؤقت
12987--5-مؤقت,12987--5-مؤقت
20170--6,20170--6
2102--H,2102--H
217--17,217--17
28753--5,28753--5
33401--5,33401--5
38047--5,38047--5
7595--H,7595--H
8018--H,8018--H
2187--H,2187--H
39562--5,39562--5
7425--H,7425--H
9430--H,9430--H
40590--1,40590--1
32352--5,32352--5
13843--5,13843--5
30106--5,30106--5
30308--6,30308--6
38579--5,38579--5
11707--5,11707--5
8093--H,8093--H
60403--مؤقت-نقل,60403--مؤقت-نقل
60404--مؤقت-نقل,60404--مؤقت-نقل
34582--5,34582--5
18802--6,18802--6
35333--5,35333--5
10289--H,10289--H
11276--15,11276--15
738--مؤقت15,738--مؤقت15
15082--5,15082--5
790--15-مؤقت,790--15-مؤقت
12236--5,12236--5
1548--H,1548--H
61770--مؤقت-حضرموت,61770--مؤقت-حضرموت
38518--5,38518--5
2285--5,2285--5
1552--W,1552--W
1939--H,1939--H
9572--H,9572--H
31133--6,31133--6
38488--5,38488--5
60211-H,60211-H
6379--H,6379--H
7683--H,7683--H
7176--H,7176--H
11546--مؤقت,11546--مؤقت
39816--5,39816--5
62227--مؤقت-نقل,62227--مؤقت-نقل
37136--5,37136--5
1755--H,1755--H
